form	lemma	POS	morph
communia	communis
voluit	uolo3
commoda	commodum1
profanis	profanus
incommoda	incommodum
pari	par2
consortio	consortio
lenitatem	lenitas
severitatem	seueritas
experiremur	experior
didicimus	disco
diligimus	diligo3
lenitatem	lenitas
metuimus	metuo
severitatem	seueritas
utramque	uterque
despicitis	despicio
sequitur	sequor
saeculi	saeculum
plagae	plaga1
admonitionem	admonitio
castigationem	castigatio
deo	deus
obveniant	obuenio
atquin	atqui
laedimur	laedo
inprimis	imprimis
refert	refero
aevo	aeuum
celeriter	celeriter
excedere	excedo1
dehinc	dehinc
adversi	aduersum
infligitur	infligo
meritis	meritum
deputatur	deputo
praestringunt	praestringo
cohaerentes	cohaereo
laetamur	laetor
recognitione	recognitio
divinarum	diuinus2
praedicationem	praedicatio
confirmantium	confirmo
fiduciam	fiducia
fidem	fides2
spei	spes
colitis	colo2
mala	malum1
eveniunt	euenio
colere	colo2
perseverans	perseuero
ingratos	ingratus
iniustos	iniustus
dolore	dolor
christianorum	christianus1
iuvare	iuuo
adserere	assero2
debuerant	debeo
iniuriarum	iniuria
titulo	titulus
postulantur	postulo
infructuosi	infructuosus
negotiis	negotium
pacto	pactum
homines	homo
degentes	dego
victus	uictus
instructus	instruo
vitam	uita
necessitatis	necessitas
brachmanae	brachmanus
indorum	indor
gymnosophistae	gymnosophistes
silvicolae	siluicola
exules	exsul
vitae	uita
meminimus	memini
gratiam	gratia
debere	debeo
deo	deus
domino	dominus
creatori	creator
fructum	fructus
operum	opus1
repudiamus	repudio
temperamus	tempero
modum	modus
perperam	perperam
utamur	utor
foro	forum1
macello	macellum
balneis	balineae
tabernis	taberna
officinis	officina
stabulis	stabulum
nundinis	nundinae
commerciis	commercium
cohabitamus	cohabito
saeculo	saeculum
navigamus	nauigo
militamus	milito2
rusticamur	rusticor
mercamur	mercor
miscemus	misceo
artes	ars
operas	opera
publicamus	publico
usui	usus
infructuosi	infructuosus
negotiis	negotium
vivimus	uiuo
scio	scio
caerimonias	caerimonia
frequento	frequens
attamen	attamen
die	dies
homo	homo
lavor	lauo1
diluculo	diluculum
saturnalibus	saturnalia
noctem	nox
diem	dies
perdam	perdo
attamen	attamen
lavor	lauo1
honesta	honestus
hora	hora
salubri	saluber
calorem	calor
sanguinem	sanguis
servet	seruo
rigere	rigeo
pallere	palleo
lavacrum	lauacrum
mortuus	mortuus?
publico	publicus2
liberalibus	liberalis
discumbo	discumbo
bestiariis	bestiarius1
supremam	superus
coenantibus	coeno
mos	mos
attamen	attamen
ubiubi	ubiubi
copiis	copia
coeno	coenum
emo	emo
capiti	caput
coronam	corona
interest	intersum1
emptis	emo
nihilominus	nihilominus
floribus	flos
utar	utor
puto	puto
gratius	gratus
liberis	liberi
solutis	solutus
vagis	uagus
coronam	corona
coactis	cogo
coronam	corona
naribus	naris
novimus	nosco
capillum	capillus
odorantur	odoror
spectaculis	spectaculum
convenimus	conuenio
coetus	coetus
venditantur	uendito
desideravero	desidero
liberius	libere
propriis	proprius
locis	locus
sumam	sumo
thura	thura
emimus	emo
arabiae	arabia
queruntur	queror
sciant	scio
sabaei	sabaeum
carioris	carus
merces	merces
christianis	christianus1
sepeliendis	sepelio
profligari	profligo
deis	deus
fumigandis	fumigo
inquitis	inquies2
templorum	templum
vectigalia	uectigal
cotidie	cotidie
decoquunt	decoquo
stipes	stips
quotusquisque	quotusquisque
iactat	iacto
sufficimus	sufficio
hominibus	homo
deis	deus
mendicantibus	mendico
opem	ops
putamus	puto
petentibus	peto
inpertiendum	impertio
porrigat	porrigo2
manum	manus1
iupiter	iupiter
accipiat	accipio
misericordia	misericordia
insumit	insumo
vicatim	uicatim
religio	religio
templatim	templatim
vectigalia	uectigal
gratias	gratia
christianis	christianus1
agent	ago
fide	fides2
dependentibus	dependeo
debitum	debitum
alieno	alienus2
