form	lemma	POS	morph
audivimus	audio
ieet	ieo
contrectavimus	contrecto
sermone	sermo
vitae	uita
praedictum	praedico2
deum	deus
patrera	pater
deum	deus
sermo	sermo
unigenitus	unigenitus
filius	filius
sinu	sinus
patris	pater
disseruit	dissero2
auditus	auditus
phantasma	phantasma
crederetur	credo
contrectatus	contrecto
paulus	paulus
conspexit	conspicio
patrem	pater
iesum	Iesus
christum	christus
deum	deus
cognominavit	cognomino
patres	pater
christus	christus
carnem	caro1
deus	deus
benedictus	benedico2
aevum	aeuum
ostendit	ostendo
visibilem	uisibilis
dei	deus
filium	filius
sermonem	sermo
dei	deus
caro	caro1
christus	christus
patre	pater
timotheum	timotheus
hominum	homo
ð	dies
¿	¿
ðµñ	dum2
	
exaggerans	exaggero1
amplius	ample
solus	solus
immortalitatem	immortalitas
lucem	lux
habitat	habito
inaccessibilem	inaccessibilis
rã	ra
©	©
saeculorum	saeculum
immortal	immortalis
invisibili	inuisibilis
soli	solus
deo	deus
contraria	contrarius
filio	filius
adscriberemus	ascribo
mortalitatem	mortalitas
accessibilitatem	accessibilitas
mortuum	mortuus?
contestatur	contestor
scripturas	scriptura
novissime	noue
accessibilem	accessibilis
lucem	lux
periculo	periculum
luminis	lumen
expertus	experior
petrus	Petrus
ioannes	Ioannes
iacobus	iacobus
rationis	ratio
amentia	amentia
passuri	patior
filii	filius
gloriam	gloria
patrem	pater
credo	credo
morituri	morior
ibidem	ibidem
deum	deus
vivet	uiuo
constat	consto
initio	initium
fine	finis
fine	finis
initio	initium
duos	duo
invisum	inuisus1
filius	filius
filius	filius
conversatus	conuersor
filius	filius
operatus	operor
auctoritate	auctoritas
patris	pater
voluntate	uoluntas
filius	filius
semetipso	sui
{semetipso}	ipse
patrem	pater
sensu	sensus
pater	pater
sensu	sensus
agit	ago
filius	filius
patris	pater
sensu	sensus
perficit	perficio
filium	filius
putes	puto
sola	solus
opera	opus?
mundi	mundus1
filium	filius
deo	deus
exinde	exinde
gesta	gero
pater	pater
diligit	diligo3
filium	filius
tradidit	trado
sinu	sinus
primordio	primordium
diligit	diligo3
primordio	primordium
tradidit	trado
primordio	primordium
sermo	sermo
deum	deus
deus	deus
sermo	sermo
potestas	potestas
patre	pater
caelis	caelum1
terra	terra
iudicat	iudico
pater	pater
iudicium	iudicium
tradidit	trado
filio	filius
primordio	primordium
potestatem	potestas
iudicium	iudicium
tradita	trado
manu	manus1
exceptionem	exceptio
temporis	tempus1
permittit	permitto
temporis	tempus1
filius	filius
initio	initium
iudicavit	iudico
turrem	turris
superbissimam	superbus2
elidens	elido
linguasque	lingua
{linguasque}	que
disperdens	disperdo
orbem	orbis
totum	totus
aquarum	aqua
violentia	uiolentia
puniens	punio
pluens	pluens
sodomam	sodoma
gomorram	gomorro
ignem	ignis
sulphurem	sulfur
dominus	dominus
domino	dominus
humana	humanus
colloquia	colloquium
descendit	descendo
adam	ada
patriarchas	patriarcha
prophetas	propheta
visione	uisio
somnio	somnium
speculo	speculum
aenigmate	aenigma
ordinem	ordo
praestruens	praestruo
initio	initium
persecuturus	persequor
finem	finis
ediscebat	edisco
deus	deus
terris	terra
hominibus	homo
conversari	conuersor
sermo	sermo
caro	caro1
ediscebat	edisco
fidem	fides2
sterneret	sterno
facilius	facile
crederemus	credo
filium	filius
dei	deus
descendisse	descendo
saeculum	saeculum
retro	retro1
gestum	gestus
cognosceremus	cognosco
scripta	scriptum
gesta	gero
aevorum	aeuum
fines	finis
decucurrerunt	decurro
adfectus	affectus1
humanos	humanus
sciebat	scio
suscepturus	suscipio
substantias	substantia
hominis	homo
carnem	caro1
animam	anima
interrogans	interrogo
adam	ada
nesciens	nescio
adam	ada
paenitens	paeniteo
hominem	homo
praesciens	praescio
temptans	tento
abraham	abraham
ignorans	ignoro
homine	homo
offensus	offendo
reconciliatus	reconcilio
haeretici	haereticus
adprehendunt	apprehendo
deo	deus
indigna	indignus
destructionem	destructio
creatoris	creator
ignorantes	ignoro
filium	filius
competisse	competo
passiones	passio
humanas	humanus
sitim	sitis
esuriem	esurio2
lacrimas	lacrima
nativitatem	natiuitas
mortem	mors
subiturus	subeo1
minoratus	minoro
patre	pater
modicum	modicus
citra	citra2
angelos	angelus
haeretici	haereticus
filio	filius
dei	deus
deputabunt	deputo
convenire	conuenio
patri	pater
inducis	induco
deminoraverit	deminoro
scriptura	scriptura
minoratum	minoro
semetipso	sui
{semetipso}	ipse
coronabatur	corono
gloriam	gloria
honorem	honor
coronabat	corono
filium	filius
pater	pater
deus	deus
omnipotens	omnipotens
invisibilis	inuisibilis
hominum	homo
inaccessibilem	inaccessibilis
lucem	lux
habitat	habito
habitat	habito
manu	manus1
conspectu	conspectus1
terra	terra
contremiscit	contremisco
montes	mons
liquescunt	liquesco
cera	cera
totum	totus
orbem	orbis
manu	manus1
adprehendit	apprehendo
nidum	nidus
caelum	caelum1
thronus	thronus
terra	terra
scabellum	scabellum
locus	locus
loco	locus
universitatis	uniuersitas
extrema	exter
linea	linea
altissimus	altus
paradiso	paradisus
vesperam	uespera
deambulaverit	deambulo
quaerens	quaero
adam	ada
arcam	arca
introitum	introitus
noã	noua
«	«
clauserit	claudo1
abraham	abraham
quercu	quercus
refrigeraverit	refrigero
moysen	moysen
rubo	rubus
ardenti	ardeo
vocarit	uoco
fornace	fornax
babylonii	babylonium
regis	rex
quartus	quartus
apparuerit	appareo
filius	filius
hominis	homo
imagine	imago
speculo	speculum
aenigmate	aenigma
filio	filius
dei	deus
credenda	credo
scripta	scripta
credenda	credo
patre	pater
scripta	scribo
vulvam	uulua
mariae	mare
deducunt	deduco
pilati	pilatus
tribunal	tribunal
impenunt	impeno
monumento	monumentum
ioseph	Ioseph
reconcludunt	reconcludo
apparet	appareo
error	error
ignorantes	ignoro
primordio	primordium
ordinem	ordo
divinae	diuinus2
dispositionis	dispositio
filium	filius
decucurrisse	decurro
credunt	credo
patrem	pater
congressum	congressus
operatum	operor
sitim	sitis
esuriem	esurio2
passum	passus1
prophetam	propheta
deus	deus
aeternus	aeternus
sitiet	sitio
nc	nucio
esuriet	esurio2
morietur	morior
sepelietur	sepelio
unum	unus
deum	deus
egisse	ago
patrem	pater
filium	filius
gesta	gero
facilius	facile
existimaverunt	existimo
patrem	pater
filii	filius
nomine	nomen
egisse	ago
filium	filius
patris	pater
domino	dominus
ege	ege
veni	uenio
patris	pater
nomine	nomen
patrem	pater
nomen	nomen
manifestavi	manifesto2
hominibus	homo
condicente	condico2
scriptura	scriptura
benedictus	benedico2
venit	uenio
nomine	nomen
domini	dominus
filius	filius
patris	pater
nomine	nomen
nomen	nomen
patris	pater
deus	deus
omnipotens	omnipotens
altissimus	altus
dominus	dominus
virtutum	uirtus
rex	rex
israelis	israel
scripturae	scriptura
docent	doceo
filium	filius
competisse	competo
filium	filius
venisse	uenio
egisse	ago
hominibus	homo
manifestasse	manifesto2
patris	pater
nomina	nomen
legis	lex
deum	deus
omnipotentem	omnipotens
altissimum	altus
deum	deus
virtutum	uirtus
regem	rex
israelis	israel
filius	filius
demonstretur	demonstro
iure	ius1
deus	deus
omnipotens	omnipotens
sermo	sermo
dei	deus
omnipotentis	omnipotens
accepit	accipio
potestatem	potestas
altissimus	altus
dextera	dextera
dei	deus
exaltatus	exalto
petrus	Petrus
actis	ago
contionatur	contionor
dominus	dominus
virtutum	uirtus
subiecta	subicio
patre	pater
rex	rex
israelis	israel
proprie	proprie
excidit	excido1
sors	sors
gentis	gens
filii	filius
volunt	uolo3
christi	christus
nomen	nomen
patris	pater
audient	audio
loco	locus
promptum	promptus2
responsum	responsum
apocalypsi	apocalypsis
ioannis	Ioannes
proferunt	profero
dominus	dominus
venit	uenio
omnipotens	omnipotens
sicubi	sicubi
alibi	alibi
dei	deus
omnipotentis	omnipotens
appellationem	appellatio
putant	puto
filio	filius
convenire	conuenio
venturus	uenio
omnipotens	omnipotens
filius	filius
omnipotentis	omnipotens
omnipotens	omnipotens
deus	deus
dei	deus
filius	filius
societatem	societas
neminum	nemo
paternorum	paternus
filio	filius
facile	facile
perspiciant	perspicio
perturbat	perturbo2
scriptura	scriptura
unicum	unicus
deum	deus
statuit	statuo
deos	deus
dominos	dominus
duos	duo
proposuerit	propono
ostendimus	ostendo
duos	duo
unum	unus
invenimus	inuenio
ambo	ambo2
unus	unus
filius	filius
pater	pater
porro	porro
periclitatur	periclitor
scriptura	scriptura
argumentatione	argumentatio
succurras	succurro
contraria	contrarius
rationem	ratio
unicum	unicus
deum	deus
statuit	statuo
duos	duo
patrem	pater
filium	filius
ostendit	ostendo
sufficit	sufficio
filium	filius
nominari	nomino
constat	consto
salvo	saluus
filio	filius
recte	recte
unicum	unicus
deum	deus
determinasse	determino
filius	filius
desinit	desino
